host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_365,number_of_reviews,availability_eoy,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month,n_amenities,n_verifications,property_type_clean,host_years,neighbourhood_cleansed_freq,room_type_Hotel room,room_type_Private room,room_type_Shared room,neighbourhood_group_cleansed_Eixample,neighbourhood_group_cleansed_Gràcia,neighbourhood_group_cleansed_Horta-Guinardó,neighbourhood_group_cleansed_Les Corts,neighbourhood_group_cleansed_Nou Barris,neighbourhood_group_cleansed_Sant Andreu,neighbourhood_group_cleansed_Sant Martí,neighbourhood_group_cleansed_Sants-Montjuïc,neighbourhood_group_cleansed_Sarrià-Sant Gervasi
0.0,100.0,92.0,0.0,1.0,1.0,41.40271,2.16646,4.0,1.0,1.0,1.0,94.0,1,1125,14,292,95,35,162,15228.0,4.28,4.41,4.31,4.39,4.48,4.71,4.13,0,85,0.59,31,3,Entire rental unit,14.780821917808218,0.016383307573415766,0,0,0,0,1,0,0,0,0,0,0,0
0.0,100.0,100.0,1.0,1.0,1.0,41.37155,2.13664,2.0,2.0,1.0,1.0,140.0,3,1125,6,317,472,61,234,32760.0,4.85,4.89,4.93,4.94,4.91,4.73,4.8,0,1,2.76,52,2,Entire rental unit,14.506849315068493,0.018238021638330756,0,0,0,0,0,0,0,0,0,0,1,0
1.0,100.0,50.0,1.0,1.0,1.0,41.39787,2.20429,6.0,2.0,3.0,3.0,175.0,1,330,11,244,195,82,255,44625.0,4.72,4.79,4.74,4.73,4.82,4.87,4.63,0,1,1.15,63,2,Entire rental unit,14.487671232876712,0.02514167954662545,0,0,0,0,0,0,0,0,0,1,0,0
1.0,90.0,97.0,1.0,1.0,1.0,41.38832,2.12201,1.0,1.0,1.0,1.0,45.0,32,1125,2,292,145,36,255,11475.0,4.63,4.61,4.56,4.81,4.79,4.8,4.62,0,3,0.85,42,3,Private room in rental unit,14.526027397260274,0.0018031942297784646,0,1,0,0,0,0,1,0,0,0,0,0
0.0,100.0,84.0,0.0,1.0,1.0,41.38189,2.15857,2.0,1.0,1.0,1.0,81.0,3,365,6,6,41,6,0,0.0,4.34,4.08,4.56,4.29,4.5,4.64,4.11,0,4,0.24,23,2,Private room in rental unit,14.46027397260274,0.0527047913446677,0,1,0,1,0,0,0,0,0,0,0,0
2.0,100.0,62.0,1.0,1.0,1.0,41.42337,2.1749,1.0,1.0,1.0,1.0,17.0,31,1125,17,240,135,73,186,3162.0,4.27,4.53,4.21,4.74,4.55,4.59,4.38,0,2,1.07,40,2,Private room in rental unit,14.452054794520548,0.007470376094796497,0,1,0,0,0,1,0,0,0,0,0,0
0.0,100.0,97.0,1.0,1.0,1.0,41.40671,2.18592,4.0,1.0,2.0,2.0,154.0,3,330,3,63,146,59,186,28644.0,4.84,4.87,4.79,4.91,4.96,4.82,4.62,0,10,0.97,30,2,Entire rental unit,14.775342465753425,0.005821741370427615,0,0,0,0,0,0,0,0,0,1,0,0
0.0,100.0,97.0,1.0,1.0,1.0,41.40681,2.18553,3.0,1.0,2.0,2.0,154.0,3,330,1,65,99,61,174,26796.0,4.77,4.8,4.73,4.94,4.94,4.82,4.6,0,10,1.15,29,2,Entire rental unit,14.775342465753425,0.005821741370427615,0,0,0,0,0,0,0,0,0,1,0,0
0.0,100.0,99.0,1.0,1.0,1.0,41.40653,2.17455,8.0,2.0,3.0,6.0,319.0,32,32,2,34,48,34,255,81345.0,4.52,4.54,4.63,4.6,4.73,4.85,4.5,0,6,0.4,61,2,Entire rental unit,14.561643835616438,0.05677485832045338,0,0,0,1,0,0,0,0,0,0,0,0
0.0,100.0,100.0,0.0,1.0,1.0,41.39316177368164,2.175757884979248,6.0,2.0,3.0,4.0,339.0,2,90,6,307,136,56,66,22374.0,4.68,4.61,4.83,4.85,4.78,4.82,4.5,1,2,0.8,32,3,Entire rental unit,14.835616438356164,0.12447192168985059,0,0,0,1,0,0,0,0,0,0,0,0
